ID	Type	Description	DataCoding
796	Integer	Distance between home and job workplace	100300
806	Categorical (single)	Job involves mainly walking or standing	100301
816	Categorical (single)	Job involves heavy manual or physical work	100301
826	Categorical (single)	Job involves shift work	100301
845	Integer	Age completed full time education	100306
864	Integer	Number of days/week walked 10+ minutes	100307
874	Integer	Duration of walks	100291
884	Integer	Number of days/week of moderate physical activity 10+ minutes	100291
894	Integer	Duration of moderate activity	100291
904	Integer	Number of days/week of vigorous physical activity 10+ minutes	100291
914	Integer	Duration of vigorous activity	100291
924	Categorical (single)	Usual walking pace	100313
943	Categorical (single)	Frequency of stair climbing in last 4 weeks	100314
971	Categorical (single)	Frequency of walking for pleasure in last 4 weeks	100317
981	Categorical (single)	Duration walking for pleasure	100318
991	Categorical (single)	Frequency of strenuous sports in last 4 weeks	100317
1001	Categorical (single)	Duration of strenuous sports	100318
1011	Categorical (single)	Frequency of light DIY in last 4 weeks	100317
1021	Categorical (single)	Duration of light DIY	100318
1031	Categorical (single)	Frequency of friend/family visits	100327
1050	Integer	Time spend outdoors in summer	100329
1060	Integer	Time spent outdoors in winter	100329
1070	Integer	Time spent watching television (TV)	100329
1080	Integer	Time spent using computer	100329
1090	Integer	Time spent driving	100329
1100	Categorical (single)	Drive faster than motorway speed limit	100334
1110	Categorical (single)	Length of mobile phone use	100335
1120	Categorical (single)	Weekly usage of mobile phone in last 3 months	100336
1130	Categorical (single)	Hands-free device/speakerphone use with mobile phone in last 3 month	100337
1140	Categorical (single)	Difference in mobile phone use compared to two years previously	100338
1150	Categorical (single)	Usual side of head for mobile phone use	100339
1160	Integer	Sleep duration	100291
1170	Categorical (single)	Getting up in morning	100341
1180	Categorical (single)	Morning/evening person (chronotype)	100342
1190	Categorical (single)	Nap during day	100343
1200	Categorical (single)	Sleeplessness / insomnia	100343
1210	Categorical (single)	Snoring	100345
1220	Categorical (single)	Daytime dozing / sleeping (narcolepsy)	100346
1239	Categorical (single)	Current tobacco smoking	100347
1249	Categorical (single)	Past tobacco smoking	100348
1259	Categorical (single)	Smoking/smokers in household	100370
1269	Integer	Exposure to tobacco smoke at home	100291
1279	Integer	Exposure to tobacco smoke outside home	100291
1289	Integer	Cooked vegetable intake	100373
1299	Integer	Salad / raw vegetable intake	100373
1309	Integer	Fresh fruit intake	100373
1319	Integer	Dried fruit intake	100373
1329	Categorical (single)	Oily fish intake	100377
1339	Categorical (single)	Non-oily fish intake	100377
1349	Categorical (single)	Processed meat intake	100377
1359	Categorical (single)	Poultry intake	100377
1369	Categorical (single)	Beef intake	100377
1379	Categorical (single)	Lamb/mutton intake	100377
1389	Categorical (single)	Pork intake	100377
1408	Categorical (single)	Cheese intake	100377
1418	Categorical (single)	Milk type used	100387
1428	Categorical (single)	Spread type	100388
1438	Integer	Bread intake	100373
1448	Categorical (single)	Bread type	100391
1458	Integer	Cereal intake	100373
1468	Categorical (single)	Cereal type	100393
1478	Categorical (single)	Salt added to food	100394
1488	Integer	Tea intake	100373
1498	Integer	Coffee intake	100373
1508	Categorical (single)	Coffee type	100397
1518	Categorical (single)	Hot drink temperature	100398
1528	Integer	Water intake	100373
1538	Categorical (single)	Major dietary changes in the last 5 years	100400
1548	Categorical (single)	Variation in diet	100401
1558	Categorical (single)	Alcohol intake frequency.	100402
1568	Integer	Average weekly red wine intake	100291
1578	Integer	Average weekly champagne plus white wine intake	100291
1588	Integer	Average weekly beer plus cider intake	100291
1598	Integer	Average weekly spirits intake	100291
1608	Integer	Average weekly fortified wine intake	100291
1618	Categorical (single)	Alcohol usually taken with meals	100416
1628	Categorical (single)	Alcohol intake versus 10 years previously	100417
1647	Categorical (single)	Country of birth (UK/elsewhere)	100420
1677	Categorical (single)	Breastfed as a baby	100349
1687	Categorical (single)	Comparative body size at age 10	100428
1697	Categorical (single)	Comparative height size at age 10	100429
1707	Categorical (single)	Handedness (chirality/laterality)	100430
1717	Categorical (single)	Skin colour	100431
1727	Categorical (single)	Ease of skin tanning	100432
1737	Integer	Childhood sunburn occasions	100291
1747	Categorical (single)	Hair colour (natural, before greying)	100434
1757	Categorical (single)	Facial ageing	100435
1767	Categorical (single)	Adopted as a child	100349
1777	Categorical (single)	Part of a multiple birth	100349
1787	Categorical (single)	Maternal smoking around birth	100349
1797	Categorical (single)	Father still alive	100349
1807	Integer	Father's age at death	100291
1835	Categorical (single)	Mother still alive	100349
1845	Integer	Mother's age	100291
1873	Integer	Number of full brothers	100291
1883	Integer	Number of full sisters	100291
1920	Categorical (single)	Mood swings	100349
1930	Categorical (single)	Miserableness	100349
1940	Categorical (single)	Irritability	100349
1950	Categorical (single)	Sensitivity / hurt feelings	100349
1960	Categorical (single)	Fed-up feelings	100349
1970	Categorical (single)	Nervous feelings	100349
1980	Categorical (single)	Worrier / anxious feelings	100349
1990	Categorical (single)	Tense / 'highly strung'	100349
2000	Categorical (single)	Worry too long after embarrassment	100349
2010	Categorical (single)	Suffer from 'nerves'	100349
2020	Categorical (single)	Loneliness, isolation	100349
2030	Categorical (single)	Guilty feelings	100349
2040	Categorical (single)	Risk taking	100349
2050	Categorical (single)	Frequency of depressed mood in last 2 weeks	100484
2060	Categorical (single)	Frequency of unenthusiasm / disinterest in last 2 weeks	100484
2070	Categorical (single)	Frequency of tenseness / restlessness in last 2 weeks	100484
2080	Categorical (single)	Frequency of tiredness / lethargy in last 2 weeks	100484
2090	Categorical (single)	Seen doctor (GP) for nerves, anxiety, tension or depression	100349
2100	Categorical (single)	Seen a psychiatrist for nerves, anxiety, tension or depression	100349
2110	Categorical (single)	Able to confide	100501
2129	Categorical (single)	Answered sexual history questions	100503
2139	Integer	Age first had sexual intercourse	100504
2149	Integer	Lifetime number of sexual partners	100291
2159	Categorical (single)	Ever had same-sex intercourse	100352
2178	Categorical (single)	Overall health rating	100508
2188	Categorical (single)	Long-standing illness, disability or infirmity	100349
2207	Categorical (single)	Wears glasses or contact lenses	100352
2217	Integer	Age started wearing glasses or contact lenses	100291
2227	Categorical (single)	Other eye problems	100352
2237	Categorical (single)	Plays computer games	100639
2247	Categorical (single)	Hearing difficulty/problems	100631
2257	Categorical (single)	Hearing difficulty/problems with background noise	100349
2267	Categorical (single)	Use of sun/uv protection	100536
2277	Integer	Frequency of solarium/sunlamp use	100537
2296	Categorical (single)	Falls in the last year	100539
2306	Categorical (single)	Weight change compared with 1 year ago	100540
2316	Categorical (single)	Wheeze or whistling in the chest in last year	100349
2335	Categorical (single)	Chest pain or discomfort	100349
2345	Categorical (single)	Ever had bowel cancer screening	100349
2355	Integer	Most recent bowel cancer screening	100567
2365	Categorical (single)	Ever had prostate specific antigen (PSA) test	100349
2375	Categorical (single)	Relative age of first facial hair	100570
2385	Categorical (single)	Relative age voice broke	100570
2395	Categorical (single)	Hair/balding pattern	100572
2405	Integer	Number of children fathered	100291
2415	Categorical (single)	Had major operations	100603
2443	Categorical (single)	Diabetes diagnosed by doctor	100349
2453	Categorical (single)	Cancer diagnosed by doctor	100603
2463	Categorical (single)	Fractured/broken bones in last 5 years	100349
2473	Categorical (single)	Other serious medical condition/disability diagnosed by doctor	100603
2492	Categorical (single)	Taking other prescription medications	100603
2624	Categorical (single)	Frequency of heavy DIY in last 4 weeks	100317
2634	Categorical (single)	Duration of heavy DIY	100318
2644	Categorical (single)	Light smokers, at least 100 smokes in lifetime	100349
2654	Categorical (single)	Non-butter spread type details	100389
2664	Categorical (single)	Reason for reducing amount of alcohol drunk	100418
2674	Categorical (single)	Ever had breast cancer screening / mammogram	100349
2684	Integer	Years since last breast cancer screening / mammogram	100567
2694	Categorical (single)	Ever had cervical smear test	100349
2704	Integer	Years since last cervical smear test	100569
2714	Integer	Age when periods started (menarche)	100291
2724	Categorical (single)	Had menopause	100579
2734	Integer	Number of live births	100584
2744	Integer	Birth weight of first child	100585
2754	Integer	Age at first live birth	100586
2764	Integer	Age at last live birth	100586
2774	Categorical (single)	Ever had stillbirth, spontaneous miscarriage or termination	100349
2784	Categorical (single)	Ever taken oral contraceptive pill	100349
2794	Integer	Age started oral contraceptive pill	100291
2804	Integer	Age when last used oral contraceptive pill	100595
2814	Categorical (single)	Ever used hormone-replacement therapy (HRT)	100349
2824	Integer	Age at hysterectomy	100291
2834	Categorical (single)	Bilateral oophorectomy (both ovaries removed)	100599
2844	Categorical (single)	Had other major operations	100603
2867	Integer	Age started smoking in former smokers	100291
2877	Categorical (single)	Type of tobacco previously smoked	100351
2887	Integer	Number of cigarettes previously smoked daily	100353
2897	Integer	Age stopped smoking	100291
2907	Categorical (single)	Ever stopped smoking for 6+ months	100349
2926	Integer	Number of unsuccessful stop-smoking attempts	100291
2936	Categorical (single)	Likelihood of resuming smoking	100369
2946	Integer	Father's age	100291
2956	Categorical (single)	General pain for 3+ months	100349
2966	Integer	Age high blood pressure diagnosed	100291
2976	Integer	Age diabetes diagnosed	100291
2986	Categorical (single)	Started insulin within one year diagnosis of diabetes	100349
3005	Categorical (single)	Fracture resulting from simple fall	100349
3059	Categorical (single)	Result ranking	22
3062	Continuous	Forced vital capacity (FVC)
3063	Continuous	Forced expiratory volume in 1-second (FEV1)
3064	Integer	Peak expiratory flow (PEF)
3065	Categorical (single)	Ordering of blows	23
3066	Compound	Data points for blow
3079	Categorical (single)	Pace-maker	7
3081	Categorical (single)	Foot measured for bone density	24
3082	Categorical (single)	Fractured heel	100267
3083	Continuous	Heel quantitative ultrasound index (QUI), manual entry
3084	Continuous	Heel bone mineral density (BMD), manual entry
3085	Continuous	Heel Broadband ultrasound attenuation (BUA), manual entry
3088	Categorical (single)	Contra-indications for spirometry	100267
3089	Categorical (single)	Caffeine drink within last hour	7
3090	Categorical (single)	Used an inhaler for chest within last hour	7
3137	Integer	Number of measurements made
3140	Categorical (single)	Pregnant	100267
3143	Continuous	Ankle spacing width
3144	Continuous	Heel Broadband ultrasound attenuation, direct entry
3147	Continuous	Heel quantitative ultrasound index (QUI), direct entry
3148	Continuous	Heel bone mineral density (BMD)
3159	Categorical (single)	Smoked cigarette or pipe within last hour	7
3160	Continuous	Weight, manual entry
3393	Categorical (single)	Hearing aid user	100352
3404	Categorical (single)	Neck/shoulder pain for 3+ months	100349
3414	Categorical (single)	Hip pain for 3+ months	100349
3426	Categorical (single)	Job involve night shift work	100301
3436	Integer	Age started smoking in current smokers	100291
3446	Categorical (single)	Type of tobacco currently smoked	100351
3456	Integer	Number of cigarettes currently smoked daily (current cigarette smokers)	100355
3466	Categorical (single)	Time from waking to first cigarette	100356
3476	Categorical (single)	Difficulty not smoking for 1 day	100357
3486	Categorical (single)	Ever tried to stop smoking	100358
3496	Categorical (single)	Wants to stop smoking	100359
3506	Categorical (single)	Smoking compared to 10 years previous	100360
3526	Integer	Mother's age at death	100291
3536	Integer	Age started hormone-replacement therapy (HRT)	100291
3546	Integer	Age last used hormone-replacement therapy (HRT)	100598
3571	Categorical (single)	Back pain for 3+ months	100349
3581	Integer	Age at menopause (last menstrual period)	100291
3591	Categorical (single)	Ever had hysterectomy (womb removed)	100599
3606	Categorical (single)	Chest pain or discomfort walking normally	100563
3616	Categorical (single)	Chest pain due to walking ceases when standing still	100349
3627	Integer	Age angina diagnosed	100291
3637	Categorical (single)	Frequency of other exercises in last 4 weeks	100317
3647	Categorical (single)	Duration of other exercises	100318
3659	Integer	Year immigrated to UK (United Kingdom)	100291
3669	Integer	Lifetime number of same-sex sexual partners	100291
3680	Integer	Age when last ate meat	100291
3700	Integer	Time since last menstrual period	100291
3710	Integer	Length of menstrual cycle	100582
3720	Categorical (single)	Menstruating today	100349
3731	Categorical (single)	Former alcohol drinker	100352
3741	Categorical (single)	Stomach/abdominal pain for 3+ months	100349
3751	Categorical (single)	Chest pain or discomfort when walking uphill or hurrying	100564
3761	Integer	Age hay fever, rhinitis or eczema diagnosed	100291
3773	Categorical (single)	Knee pain for 3+ months	100349
3786	Integer	Age asthma diagnosed	100291
3799	Categorical (single)	Headaches for 3+ months	100349
3809	Integer	Time since last prostate specific antigen (PSA) test	100569
3829	Integer	Number of stillbirths	100291
3839	Integer	Number of spontaneous miscarriages	100291
3849	Integer	Number of pregnancy terminations	100291
3859	Categorical (single)	Reason former drinker stopped drinking alcohol	100418
3872	Integer	Age of primiparous women at birth of child	100586
3882	Integer	Age at bilateral oophorectomy (both ovaries removed)	100291
3894	Integer	Age heart attack diagnosed	100291
3912	Categorical (single)	Adopted father still alive	100349
3942	Categorical (single)	Adopted mother still alive	100349
3972	Integer	Number of adopted brothers	100291
3982	Integer	Number of adopted sisters	100291
3992	Integer	Age emphysema/chronic bronchitis diagnosed	100291
4012	Integer	Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed	100291
4022	Integer	Age pulmonary embolism (blood clot in lung) diagnosed	100291
4041	Categorical (single)	Gestational diabetes only	100617
4056	Integer	Age stroke diagnosed	100291
4067	Categorical (single)	Facial pains for 3+ months	100349
4079	Integer	Diastolic blood pressure, automated reading
4080	Integer	Systolic blood pressure, automated reading
4092	Categorical (single)	Heel ultrasound method (left)	100260
4093	Categorical (single)	Fractured heel (left)	27
4095	Categorical (single)	Heel ultrasound method (right)	100260
4096	Categorical (single)	Fractured heel (right)	27
4100	Continuous	Ankle spacing width (left)
4101	Continuous	Heel broadband ultrasound attenuation (left)
4104	Continuous	Heel quantitative ultrasound index (QUI), direct entry (left)
4105	Continuous	Heel bone mineral density (BMD) (left)
4106	Continuous	Heel bone mineral density (BMD) T-score, automated (left)
4119	Continuous	Ankle spacing width (right)
4120	Continuous	Heel broadband ultrasound attenuation (right)
4123	Continuous	Heel quantitative ultrasound index (QUI), direct entry (right)
4124	Continuous	Heel bone mineral density (BMD) (right)
4125	Continuous	Heel bone mineral density (BMD) T-score, automated (right)
4138	Continuous	Heel bone mineral density (BMD) T-score, manual entry (left)
4139	Continuous	Heel quantitative ultrasound index (QUI), manual entry (left)
4140	Continuous	Heel bone mineral density (BMD), manual entry (left)
4141	Continuous	Heel broadband ultrasound attenuation (BUA), manual entry (left)
4143	Continuous	Heel bone mineral density (BMD) T-score, manual entry (right)
4144	Continuous	Heel quantitative ultrasound index (QUI), manual entry (right)
4145	Continuous	Heel bone mineral density (BMD), manual entry (right)
4146	Continuous	Heel broadband ultrasound attenuation (BUA), manual entry (right)
4186	Categorical (single)	Stiffness method	100263
4194	Integer	Pulse rate
4195	Integer	Pulse wave reflection index
4196	Integer	Pulse wave peak to peak time
4205	Compound	Pulse wave pressure versus time response curve
4207	Continuous	Pulse wave velocity (manual entry)
4229	Text	Triplet played (left)
4230	Integer	Signal-to-noise-ratio (SNR) of triplet (left)
4232	Categorical (single)	Triplet correct (left)	29
4233	Continuous	Mean signal-to-noise ratio (SNR), (left)
4236	Text	Triplet entered (left)
4240	Text	Triplet played (right)
4241	Integer	Signal-to-noise-ratio (SNR) of triplet (right)
4242	Text	Triplet entered (right)
4243	Categorical (single)	Triplet correct (right)	29
4244	Continuous	Mean signal-to-noise ratio (SNR), (right)
4250	Integer	Number of digits to be memorised/recalled
4251	Text	Target number to be memorised
4252	Text	Target number to be entered
4253	Integer	Time number displayed for
4254	Integer	Time first key touched
4255	Integer	Time last key touched
4256	Integer	Time elapsed
4257	Text	Keystroke history
4258	Text	Number entered by participant
4259	Categorical (single)	Digits entered correctly	29
4260	Integer	Round of numeric memory test
4268	Categorical (single)	Completion status (left)	30
4269	Integer	Number of triplets attempted (left)
4270	Categorical (single)	Volume level set by participant (left)	15
4275	Categorical (single)	Completion status (right)	30
4276	Integer	Number of triplets attempted (right)
4277	Categorical (single)	Volume level set by participant (right)	15
4281	Categorical (single)	Completion status of numeric memory test	31
4282	Integer	Maximum digits remembered correctly	100696
4283	Integer	Number of rounds of numeric memory test performed
4285	Integer	Time to complete test
4286	Time	Time when initial screen shown
4287	Categorical (single)	Test completion status	32
4288	Integer	Time to answer
4289	Time	Time screen exited
4290	Integer	Duration screen displayed
4291	Integer	Number of attempts
4292	Categorical (single)	PM: initial answer	16
4293	Categorical (single)	PM: final answer	16
4294	Categorical (single)	Final attempt correct	29
4295	Text	History of attempts
4407	Integer	Average monthly red wine intake	100291
4418	Integer	Average monthly champagne plus white wine intake	100291
4429	Integer	Average monthly beer plus cider intake	100291
4440	Integer	Average monthly spirits intake	100291
4451	Integer	Average monthly fortified wine intake	100291
4462	Integer	Average monthly intake of other alcoholic drinks	100291
4501	Categorical (single)	Non-accidental death in close genetic family	100349
4526	Categorical (single)	Happiness	100478
4537	Categorical (single)	Work/job satisfaction	100479
4548	Categorical (single)	Health satisfaction	100478
4559	Categorical (single)	Family relationship satisfaction	100478
4570	Categorical (single)	Friendships satisfaction	100478
4581	Categorical (single)	Financial situation satisfaction	100478
4598	Categorical (single)	Ever depressed for a whole week	100349
4609	Integer	Longest period of depression	100291
4620	Integer	Number of depression episodes	100291
4631	Categorical (single)	Ever unenthusiastic/disinterested for a whole week	100349
4642	Categorical (single)	Ever manic/hyper for 2 days	100349
4653	Categorical (single)	Ever highly irritable/argumentative for 2 days	100349
4674	Categorical (single)	Private healthcare	100511
4689	Integer	Age glaucoma diagnosed	100291
4700	Integer	Age cataract diagnosed	100291
4717	Categorical (single)	Shortness of breath walking on level ground	100349
4728	Categorical (single)	Leg pain on walking	100349
4792	Categorical (single)	Cochlear implant	100352
4803	Categorical (single)	Tinnitus	100635
4814	Categorical (single)	Tinnitus severity/nuisance	100636
4825	Categorical (single)	Noisy workplace	100637
4836	Categorical (single)	Loud music exposure frequency	100637
4849	Categorical (single)	Hearing test done	100640
4924	Categorical (single)	Attempted fluid intelligence (FI) test.	100642
4935	Categorical (single)	FI1 : numeric addition test	100643
4946	Categorical (single)	FI2 : identify largest number	100644
4957	Categorical (single)	FI3 : word interpolation	100645
4968	Categorical (single)	FI4 : positional arithmetic	100646
4979	Categorical (single)	FI5 : family relationship calculation	100647
4990	Categorical (single)	FI6 : conditional arithmetic	100648
5001	Categorical (single)	FI7 : synonym	100649
5012	Categorical (single)	FI8 : chained arithmetic	100650
5057	Integer	Number of older siblings	100291
5084	Continuous	Spherical power (right)
5085	Continuous	Spherical power (left)
5086	Continuous	Cylindrical power (left)
5087	Continuous	Cylindrical power (right)
5088	Integer	Astigmatism angle (right)
5089	Integer	Astigmatism angle (left)
5090	Categorical (single non-numeric)	Refractometry result unreliable (left)	1204
5091	Categorical (single non-numeric)	Refractometry result unreliable (right)	1204
5096	Continuous	3mm weak meridian (left)
5097	Continuous	6mm weak meridian (left)
5098	Continuous	6mm weak meridian (right)
5099	Continuous	3mm weak meridian (right)
5100	Integer	3mm weak meridian angle (right)
5101	Integer	6mm weak meridian angle (right)
5102	Integer	6mm weak meridian angle (left)
5103	Integer	3mm weak meridian angle (left)
5104	Integer	3mm strong meridian angle (left)
5105	Integer	6mm strong meridian angle (left)
5106	Integer	6mm strong meridian angle (right)
5107	Integer	3mm strong meridian angle (right)
5108	Integer	3mm asymmetry angle (right)
5109	Integer	6mm asymmetry angle (right)
5110	Integer	6mm asymmetry angle (left)
5111	Integer	3mm asymmetry angle (left)
5112	Integer	3mm cylindrical power angle (left)
5113	Integer	6mm cylindrical power angle (left)
5114	Integer	6mm cylindrical power angle (right)
5115	Integer	3mm cylindrical power angle (right)
5116	Continuous	3mm cylindrical power (right)
5117	Continuous	6mm cylindrical power (right)
5118	Continuous	6mm cylindrical power (left)
5119	Continuous	3mm cylindrical power (left)
5132	Continuous	3mm strong meridian (right)
5133	Continuous	6mm strong meridian (right)
5134	Continuous	6mm strong meridian (left)
5135	Continuous	3mm strong meridian (left)
5136	Categorical (single non-numeric)	3mm keratometry result unreliable (left)	1205
5138	Categorical (single non-numeric)	6mm keratometry result unreliable (left)	1206
5139	Categorical (single non-numeric)	6mm keratometry result unreliable (right)	1206
5140	Categorical (single non-numeric)	3mm keratometry result unreliable (right)	1205
5141	Categorical (single non-numeric)	3mm asymmetry index unreliable (left)	1207
5142	Categorical (single non-numeric)	6mm asymmetry index unreliable (left)	1208
5143	Categorical (single non-numeric)	6mm asymmetry index unreliable (right)	1208
5144	Categorical (single non-numeric)	3mm asymmetry index unreliable (right)	1207
5145	Categorical (single non-numeric)	3mm regularity index unreliable (right)	1209
5146	Categorical (single non-numeric)	6mm regularity index unreliable (right)	1209
5147	Categorical (single non-numeric)	6mm regularity index unreliable (left)	1210
5148	Categorical (single non-numeric)	3mm regularity index unreliable (left)	1210
5149	Categorical (single)	3mm regularity index for irregular astigmatism level (left)	33
5152	Categorical (single)	3mm asymmetry index for irregular astigmatism level (right)	33
5155	Categorical (single)	3mm asymmetry index for irregular astigmatism level (left)	33
5156	Continuous	3mm asymmetry index (left)
5157	Continuous	6mm asymmetry index (left)
5158	Continuous	6mm asymmetry index (right)
5159	Continuous	3mm asymmetry index (right)
5160	Continuous	3mm regularity index (right)
5161	Continuous	6mm regularity index (right)
5162	Continuous	6mm regularity index (left)
5163	Continuous	3mm regularity index (left)
5164	Categorical (single)	3mm regularity index for irregular astigmatism level (right)	33
5181	Categorical (single)	Ever had eye surgery	100271
5182	Categorical (single)	Both eyes present	100273
5183	Categorical (single)	Current eye infection	7
5189	Categorical (single)	Auto-refraction method (right)	100274
5191	Categorical (single)	Auto-refraction method (left)	100274
5194	Categorical (single)	Intra-ocular pressure (IOP) method (right)	100274
5196	Categorical (single)	Intra-ocular pressure (IOP) method (left)	100274
5198	Integer	Eye measures duration
5215	Continuous	Vertex distance (right)
5221	Integer	Index of best refractometry result (right)
5237	Integer	3mm index of best keratometry results (right)
5251	Integer	6mm index of best keratometry results (right)
5254	Continuous	Intra-ocular pressure, corneal-compensated (right)
5255	Continuous	Intra-ocular pressure, Goldmann-correlated (right)
5256	Continuous	Corneal hysteresis (right)
5257	Continuous	Corneal resistance factor (right)
5258	Compound	Applanation curve (right)
5259	Compound	Pressure curve (right)
5262	Continuous	Intra-ocular pressure, corneal-compensated (left)
5263	Continuous	Intra-ocular pressure, Goldmann-correlated (left)
5264	Continuous	Corneal hysteresis (left)
5265	Continuous	Corneal resistance factor (left)
5266	Compound	Applanation curve (left)
5267	Compound	Pressure curve (left)
5274	Continuous	Vertex distance (left)
5276	Integer	Index of best refractometry result (left)
5292	Integer	3mm index of best keratometry results (left)
5306	Integer	6mm index of best keratometry results (left)
5324	Categorical (single)	Ever had cataract surgery	100272
5325	Categorical (single)	Ever had refractive laser eye surgery	100272
5326	Categorical (single)	Ever had surgery for glaucoma or high eye pressure	100272
5327	Categorical (single)	Ever had laser treatment for glaucoma or high eye pressure	100272
5328	Categorical (single)	Ever had corneal graft surgery	100272
5364	Integer	Average weekly intake of other alcoholic drinks	100291
5375	Integer	Longest period of unenthusiasm / disinterest	100291
5386	Integer	Number of unenthusiastic/disinterested episodes	100291
5408	Categorical (single)	Which eye(s) affected by amblyopia (lazy eye)	100515
5419	Categorical (single)	Which eye(s) affected by injury or trauma resulting in loss of vision	100515
5430	Integer	Age when loss of vision due to injury or trauma diagnosed	100291
5441	Categorical (single)	Which eye(s) are affected by cataract	100515
5452	Categorical (single)	Leg pain when standing still or sitting	100349
5463	Categorical (single)	Leg pain in calf/calves	100349
5474	Categorical (single)	Leg pain when walking uphill or hurrying	100349
5485	Categorical (single)	Leg pain when walking normally	100349
5496	Categorical (single)	Leg pain when walking ever disappears while walking	100349
5507	Categorical (single)	Leg pain on walking : action taken	100549
5518	Categorical (single)	Leg pain on walking : effect of standing still	100550
5529	Categorical (single)	Surgery on leg arteries (other than for varicose veins)	100349
5540	Categorical (single)	Surgery/amputation of toe or leg	100552
5556	Categorical (single)	FI9 : concept interpolation	100651
5610	Categorical (single)	Which eye(s) affected by presbyopia	100515
5663	Categorical (single)	Length of longest manic/irritable episode	100499
5674	Categorical (single)	Severity of manic/irritable episodes	100500
5699	Categorical (single)	FI10 : arithmetic sequence recognition	100652
5779	Categorical (single)	FI11 : antonym	100653
5790	Categorical (single)	FI12 : square sequence recognition	100654
5832	Categorical (single)	Which eye(s) affected by hypermetropia (long sight)	100515
5843	Categorical (single)	Which eye(s) affected by myopia (short sight)	100515
5855	Categorical (single)	Which eye(s) affected by astigmatism	100515
5866	Categorical (single)	FI13 : subset inclusion logic	100655
5877	Categorical (single)	Which eye(s) affected by other eye condition	100515
5890	Categorical (single)	Which eye(s) affected by diabetes-related eye disease	100515
5901	Integer	Age when diabetes-related eye disease diagnosed	100291
5912	Categorical (single)	Which eye(s) affected by macular degeneration	100515
5923	Integer	Age macular degeneration diagnosed	100291
5934	Categorical (single)	Which eye(s) affected by other serious eye condition	100515
5945	Integer	Age other serious eye condition diagnosed	100291
5959	Categorical (single)	Previously smoked cigarettes on most/all days	100352
5983	Integer	ECG, heart rate
5984	Integer	ECG, load
5986	Integer	ECG, phase time
5987	Text	ECG, trend phase name
5988	Text	ECG, stage name
5991	Text	ECG, phase name
5992	Integer	ECG, phase duration
5993	Integer	ECG, number of stages in a phase
6014	Categorical (single)	Doctor restricts physical activity due to heart condition	100267
6015	Categorical (single)	Chest pain felt during physical activity	100267
6016	Categorical (single)	Chest pain felt outside physical activity	100267
6017	Categorical (single)	Able to walk or cycle unaided for 10 minutes	100267
6019	Categorical (single)	ECG/bike method for fitness test	100256
6020	Categorical (single)	Completion status of test	100257
6022	Integer	ECG during exercise duration
6024	Categorical (single)	Program category	35
6032	Integer	Maximum workload during fitness test
6033	Integer	Maximum heart rate during fitness test
6034	Categorical (single)	Target heart rate achieved	12
6038	Integer	Number of trend entries
6039	Integer	Duration of fitness test
6070	Categorical (single)	OCT measured (right)	100274
6072	Categorical (single)	OCT measured (left)	100274
